code,binary,who,where,when,number,name,key,description,book
10 10 10,101010,ME,EAST,SPRING,1,Pioneer,"initiative, beginning, purity of intent","The one who takes the first step into unknown territory. Unburdened by precedent, they create paths where none existed.",ME
10 10 11,101011,ME,EAST,SUMMER,2,Leader,"confidence, direction, active leadership","Having found the path, the Pioneer becomes the Leader, guiding others with clarity and purpose.",ME
10 10 01,101001,ME,EAST,AUTUMN,3,Strategist,"analysis, foresight, planning","Experience teaches the Leader to plan ahead. The Strategist sees multiple futures and prepares for each.",ME
10 10 00,101000,ME,EAST,WINTER,4,Hermit,"waiting, inner preparation, potential","After much planning, a time of withdrawal. The Hermit waits in silence, gathering strength for the next cycle.",ME
10 11 10,101110,ME,SOUTH,SPRING,5,Warrior,"courage, defense, fighting for ideals","When the path is threatened, the Warrior rises to defend it. Their courage protects what matters.",ME
10 11 11,101111,ME,SOUTH,SUMMER,6,Creator,"creativity, realization, productivity","The Warrior's defense creates space for creation. The Creator brings new things into being.",ME
10 11 01,101101,ME,SOUTH,AUTUMN,7,Reaper,"results, reward, harvesting fruits","Creation bears fruit. The Reaper gathers what has been grown, honoring the labor that produced it.",ME
10 11 00,101100,ME,SOUTH,WINTER,8,Steadfast,"endurance, resistance, self-preservation","Through hardship, the Steadfast endures. They are the one who remains when all others have fallen away.",ME
10 01 10,100110,ME,WEST,SPRING,9,Sage,"intuition, inner knowledge, insight","After action comes wisdom. The Sage sees patterns invisible to others, speaking from deep knowing.",ME
10 01 11,100111,ME,WEST,SUMMER,10,Philosopher,"contemplation, truth-seeking, reflection","The Sage's insights become systematic. The Philosopher seeks universal truth through contemplation.",ME
10 01 01,100101,ME,WEST,AUTUMN,11,Judge,"evaluation, discernment, justice","With truth comes judgment. The Judge discerns what is worthy, what is just, what must be preserved.",ME
10 01 00,100100,ME,WEST,WINTER,12,Recluse,"isolation, self-analysis, distance from world","Judgment completed, the Recluse withdraws entirely — not in waiting like the Hermit, but in final solitude.",ME
10 00 10,100010,ME,NORTH,SPRING,13,Secret,"hidden possibilities, mystery, unmanifest","That which is not yet revealed but could be. The Secret holds infinite potential in silence.",ME
10 00 11,100011,ME,NORTH,SUMMER,14,Treasure,"inner wealth, potential, unused gifts","The Secret, when valued, becomes Treasure — gifts not yet given, riches not yet spent.",ME
10 00 01,100001,ME,NORTH,AUTUMN,15,Guardian,"protection of the sacred, fidelity, responsibility","Treasure must be protected. The Guardian watches over what is precious, ensuring it reaches the right hands.",ME
10 00 00,100000,ME,NORTH,WINTER,16,Anchoret,"complete inner silence, refusal to manifest","The deepest interiority — silence so complete that nothing emerges. The Anchoret is the individual before creation, after dissolution.",ME
11 10 10,111010,WE,EAST,SPRING,17,Pioneers,"shared pioneering, team initiative","Many as one taking the first step. The Pioneers move together into unknown territory.",WE
11 10 11,111011,WE,EAST,SUMMER,18,Builders,"collective construction, shared work","Having found ground, the Builders construct together. Their shared labor creates what none could alone.",WE
11 10 01,111001,WE,EAST,AUTUMN,19,Chroniclers,"shared memory, tradition, experience transmission","What is built must be remembered. The Chroniclers record, preserve, and transmit collective experience.",WE
11 10 00,111000,WE,EAST,WINTER,20,Guardians,"collective protection, shared security","Memory protected becomes security. The Guardians watch over the community's boundaries.",WE
11 11 10,111110,WE,SOUTH,SPRING,21,Nuptial,"union, celebration of connection, joy of meeting","When individuals become community, there is celebration. The Nuptial is the joy of finding one another.",WE
11 11 11,111111,WE,SOUTH,SUMMER,22,Conciliar,"absolute unity, collective celebration, ecstasy","Beyond mere meeting, the Conciliar is perfect unity — many acting as one in complete harmony.",WE
11 11 01,111101,WE,SOUTH,AUTUMN,23,Feasters,"sharing fruits, distribution of blessings","Unity bears fruit. The Feasters share abundance, each receiving according to need, each giving according to ability.",WE
11 11 00,111100,WE,SOUTH,WINTER,24,Circle,"collective survival, mutual support in hardship","When abundance ends, the Circle remains — community as mutual support through difficulty.",WE
11 01 10,110110,WE,WEST,SPRING,25,Elders,"collective wisdom, shared vision","Those who have lived long see far. The Elders hold the community's wisdom, offering guidance.",WE
11 01 11,110111,WE,WEST,SUMMER,26,Council,"collective intelligence, shared understanding","Wisdom gathered becomes Council — shared deliberation toward truth and right action.",WE
11 01 01,110101,WE,WEST,AUTUMN,27,Assembly,"collective decision, shared judgment","Council leads to Assembly — the moment of collective decision, of binding choice.",WE
11 01 00,110100,WE,WEST,WINTER,28,Silent,"shared silence, wordless unity","After decision, silence. The Silent community rests in wordless presence, united without speech.",WE
